,značka,středisko,položka,částka,podáno,proplaceno,redmine,popis
372,FO 375/2018,strana,212900001,-45422.00,2018-04-10,2018-04-10,https://redmine.pirati.cz/issues/10377,odměna vedoucí PO 3/2018
373,FO 376/2018,strana,212900001,-29000.00,2018-04-05,2018-04-06,https://redmine.pirati.cz/issues/10258,Odměna KoKS JčK 03/2018
374,FO 377/2018,strana,212900001,-8278.60,2018-04-05,2018-04-06,,Proplácení telefonů 3/2018
375,FO 378/2018,praha,220100541,-16478.65,2018-04-05,2018-04-06,,Měsíční odměna zastupitele A. Zábranského 03/2018
376,FO 379/2018,moravskoslezsko,220400150,-1060.00,2018-04-05,2018-04-05,https://redmine.pirati.cz/issues/10270,Propagace FB
377,FO 380/2018,praha,220100541,-18565.00,2018-04-05,2018-04-06,,Měsíční odměna zastupitele I. Mikoláše 03/2018
378,FO 381/2018,strana,212900001,-24472.00,2018-04-05,2018-04-06,https://redmine.pirati.cz/issues/10277,"Odměna - KoKS MSK, 03/2018"
379,FO 382/2018,strana,210000521,-12000.00,2018-04-05,,https://redmine.pirati.cz/issues/10276,FO 382/2018 Expertní práce k projektu Občanská sněmovna
380,FO 383/2018,strana,212500001,-16500.00,2018-04-05,2018-04-06,https://redmine.pirati.cz/issues/10278,asistentka RP - Odměna 03/18
381,FO 384/2018,karlovarsko,220200150,-900.00,2018-04-05,2018-04-06,https://redmine.pirati.cz/issues/10280,Trička - MS Chebsko
382,FO 385/2018,zlinsko,220500131,50000.00,2018-04-05,,https://redmine.pirati.cz/issues/10282,Senát 78.Aleš Fuksa
383,FO 386/2018,olomoucko,220303001,-725.00,2018-04-05,2018-04-06,https://redmine.pirati.cz/issues/10283,Materiál ukliďme česko
384,FO 387/2018,kralovehradecko,220900600,-653.00,2018-04-05,2018-04-06,https://redmine.pirati.cz/issues/10286,Materiál na akci Ukliďme Česko 2018
385,FO 388/2018,praha,220100402,-847.00,2018-04-05,2018-04-06,https://redmine.pirati.cz/issues/10287,Internet v PiCe - duben
386,FO 389/2018,ustecko,221000150,-8500.00,2018-04-06,2018-04-09,https://redmine.pirati.cz/issues/10292,Umístění reklamy
387,FO 390/2018,strana,212900001,-16654.00,2018-04-06,2018-04-10,https://redmine.pirati.cz/issues/10271,Odměna_KoKs_SčK_3/2018
388,FO 391/2018,strana,212800001,-10000.00,2018-04-06,2018-04-09,https://redmine.pirati.cz/issues/10294,03/2018 - Střih a pořízení videozáznamu PirateConu o životním prostředí
389,FO 392/2018,moravskoslezsko,220400150,-2800.00,2018-04-06,2018-04-09,https://redmine.pirati.cz/issues/10295,Příprava natáčení a natáčení PirateConu
390,FO 393/2018,strana,231172014,-30625.00,2018-04-06,,https://redmine.pirati.cz/issues/10296,Vybavení Picola
391,FO 394/2018,moravskoslezsko,220400150,-6000.00,2018-04-06,2018-04-09,https://redmine.pirati.cz/issues/10301,Pronájem stánku
392,FO 395/2018,praha,220100401,-14363.00,2018-04-07,2018-04-10,https://redmine.pirati.cz/issues/10304,Odměna KoKS Praha 03/2018
393,FO 396/2018,strana,212500003,-615.00,2018-04-07,2018-04-10,,Cestovné M. Kučera 9. 3. 2018
394,FO 397/2018,strana,212600001,-746.00,2018-04-07,2018-04-13,,Cestovné M. Kučera výběrové řízení
395,FO 398/2018,ustecko,221000150,-6375.00,2018-04-08,2018-04-11,https://redmine.pirati.cz/issues/10309,Nákup Pirátských propagačních předmětů
396,FO 399/2018,praha,220100401,-14436.00,2018-04-08,2018-04-10,https://redmine.pirati.cz/issues/10311,"Odměna KoKS Pha, 3/2018"
397,FO 400/2018,plzensko,221300400,-209.33,2018-04-08,2018-04-10,https://redmine.pirati.cz/issues/10313,Internet
398,FO 401/2018,strana,212700001,-2410.00,2018-04-09,2018-04-13,https://redmine.pirati.cz/issues/10386,"Odměna - asistent vedoucího FO, 03/2018"
399,FO 402/2018,strana,212900001,-33745.00,2018-04-09,2018-04-10,https://redmine.pirati.cz/issues/10325,"Odměna - KoKS Pha, 03/2018"
400,FO 403/2018,strana,212600001,-26000.00,2018-04-09,2018-04-10,https://redmine.pirati.cz/issues/10327,Odměna vedoucího AO 2018/01-02
401,FO 404/2018,strana,212600001,-10000.00,2018-04-09,2018-04-10,https://redmine.pirati.cz/issues/10327,Odměna vedoucího AO 2018/03
402,FO 405/2018,pardubicko,220800400,-903.00,2018-04-09,2018-04-09,https://redmine.pirati.cz/issues/10348,Cesty do Svitav a do Sezemic
403,FO 406/2018,strana,212500003,-48400.00,2018-04-09,2018-04-10,https://redmine.pirati.cz/issues/10378,průvodce upgradem - odměna 03/18
404,FO 407/2018,strana,212900001,-2000.00,2018-04-09,2018-04-09,https://redmine.pirati.cz/issues/10349,odměna za zastoupení vedoucí PO ve věci VŘ
405,FO 408/2018,pardubicko,220800401,-1710.00,2018-04-09,2018-04-09,https://redmine.pirati.cz/issues/10350,Vybavení kanceláře poslance v Pardubicích
406,FO 409/2018,strana,212800001,-20000.00,2018-04-09,2018-04-10,https://redmine.pirati.cz/issues/10351,"odměna - Vedoucí Týmu odpovídačů, 03/2018, Michal Zachar"
407,FO 410/2018,kralovehradecko,220900600,-287.87,2018-04-09,2018-04-09,https://redmine.pirati.cz/issues/10352,Materiál na akci Ukliďme Česko 2018_Nachod
408,FO 411/2018,kralovehradecko,220900600,-407.17,2018-04-09,2018-04-09,https://redmine.pirati.cz/issues/10353,Materiál na akci Ukliďme Česko 2018_HK
409,FO 412/2018,kralovehradecko,220900600,-215.90,2018-04-09,2018-04-09,https://redmine.pirati.cz/issues/10354,Materiál na akci Ukliďme Česko 2018_HK1
410,FO 413/2018,pardubicko,220800402,-380.00,2018-04-09,2018-04-09,https://redmine.pirati.cz/issues/10355,Ochranné rukavice
411,FO 414/2018,zlinsko,220500404,-2595.00,2018-04-09,2018-04-16,https://redmine.pirati.cz/issues/10356,Vesty - interní převod
412,FO 415/2018,strana,212800001,-12705.00,2018-04-09,2018-04-10,https://redmine.pirati.cz/issues/10358,Monitoring medii 3/2018
413,FO 416/2018,strana,212800001,-10000.00,2018-04-09,2018-04-11,https://redmine.pirati.cz/issues/10362,správa SM za 2/2018
414,FO 417/2018,strednicechy,221400001,-564.00,2018-04-09,2018-04-10,https://redmine.pirati.cz/issues/10365,Proplacená nákladů - Petr Chaluš
415,FO 418/2018,vysocina,220704401,-6500.00,2018-04-09,2018-04-10,,Pronájem sálu
416,FO 419/2018,jiznimorava,220604000,-4035.00,2018-04-09,,https://redmine.pirati.cz/issues/10367,Vesty - interní převod
417,FO 420/2018,liberecko,221100110,-6190.00,2018-04-09,2018-04-10,https://redmine.pirati.cz/issues/10369,Propagační materiály
418,FO 421/2018,jiznicechy,221200700,-1995.00,2018-04-10,,,Vesty - interní převod
